Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-6.57499,-72.73085,21.97452,7.32486,60.00000,3.24242,66.15587,50.75633,0.00000,0.00000,0.00000,0.08259,0.02593,0.03772,0.00000,0.33738,0.61702,0.03102,0.02920,1.95246,0.17785,0.31366,0.58000,,
-6.50197,-72.69356,22.00713,7.28763,60.00000,3.22925,66.19158,50.68643,0.00000,0.00000,0.00000,0.06990,0.03571,0.03261,0.00000,0.33768,0.61727,0.02985,0.02494,0.57942,0.33181,0.03698,0.59000,,
-6.42939,-72.66307,22.04384,7.26073,60.00000,3.21610,66.23368,50.61923,0.00000,0.00000,0.00000,0.06720,0.04210,0.03671,0.00000,0.33799,0.61746,0.03022,0.01894,0.83579,0.14338,0.44296,0.60000,,
-6.35276,-72.63941,22.07779,7.22208,60.00000,3.20776,66.28665,50.56162,0.00000,0.00000,0.00000,0.05761,0.05297,0.03395,0.00000,0.33829,0.61761,0.03014,0.01483,1.28360,0.50563,0.21126,0.61000,,
-6.27306,-72.60889,22.11388,7.17617,60.00000,3.20237,66.33582,50.49501,0.00000,0.00000,0.00000,0.06661,0.04917,0.03608,0.00000,0.33861,0.61781,0.03197,0.01945,2.68865,0.94244,0.30848,0.62000,,
-6.17539,-72.56984,22.14648,7.12717,60.00000,3.19281,66.39445,50.42336,0.00000,0.00000,0.00000,0.07165,0.05863,0.03260,0.00000,0.33897,0.61808,0.03654,0.02761,3.55895,0.84277,0.06023,0.63000,,
-6.06478,-72.53732,22.17779,7.08831,60.00000,3.18194,66.47254,50.35954,0.00000,0.00000,0.00000,0.06383,0.07809,0.03131,0.00000,0.33936,0.61832,0.03918,0.02390,0.96088,1.05654,0.08633,0.64000,,
-5.95887,-72.49957,22.18204,7.04994,60.00000,3.18010,66.54070,50.31753,0.00000,0.00000,0.00000,0.04201,0.06815,0.00425,0.00000,0.33968,0.61866,0.03190,0.03352,0.36617,1.06972,0.61941,0.65000,,
-5.84857,-72.48880,22.17854,7.01954,60.00000,3.19246,66.64023,50.31026,0.00000,0.00000,0.00000,0.00726,0.09953,0.00350,0.00000,0.33998,0.61882,0.02923,0.01584,0.95622,0.33909,0.49277,0.66000,,
-5.73713,-72.48644,22.15278,6.98491,60.00000,3.21022,66.74931,50.33366,0.00000,0.00000,0.00000,0.02340,0.10909,0.02575,0.00000,0.34021,0.61896,0.02362,0.01482,2.17063,0.26915,0.50572,0.67000,,
